epoch,train_mse,train_mae,val_mse,val_mae
1,1.109865965710746,0.7707626289791532,0.4896488381283624,0.4692578230585371
2,1.0389333460066053,0.7309368901782566,0.5852636694908142,0.5579695403575897
3,1.1136214787430234,0.7555895805358886,0.4866064786911011,0.45184730206217083
4,0.9738603321711222,0.7061111905839708,0.4393107273748943,0.4381301190171923
5,0.8403070227305094,0.6564164670308431,0.4451805225440434,0.4500583452837808
6,0.8012999806139204,0.6385921997494167,0.36358057601111277,0.46223058445113047
7,0.880545288655493,0.6606686004002889,0.49444967934063505,0.4579206832817623
8,0.7854860581292047,0.6120318259133233,0.38847642711230684,0.4811570005757468
9,0.7467183697058095,0.6090768840577867,0.34805778094700407,0.39890877263886587
10,0.7497493404812283,0.6082004308700562,0.2983720132282802,0.39120628578322275
11,0.7655641431278652,0.6157117387983534,0.32994922144072397,0.4033959891114916
12,0.6592674991819594,0.5714727041456434,0.3103884075369154,0.39626152174813406
13,0.6130140505896674,0.5588357384999593,0.3110032081604004,0.40027804034096853
14,0.6337829335530599,0.5505803834067451,0.39817572065762113,0.442461507661002
15,0.6131487041049534,0.5537139140235053,0.3375413588115147,0.42522332072257996
16,0.6584325522846646,0.5652209006415473,0.36003635610852924,0.41973706654139925
17,0.7436262379752265,0.6124741771486071,0.4030022748879024,0.4279501267841884
18,0.6346929013729096,0.5495698017544216,0.3335370889731816,0.4259536564350128
19,0.5283246269490984,0.5097976652781169,0.32815354636737276,0.41227684702192036
20,0.6134031002057924,0.5608959759606256,0.32955933042934965,0.40824525696890696
21,0.5892106360859342,0.5370384311676025,0.31523771371160236,0.40622976422309875
22,0.5468948197364807,0.5117173014746772,0.2972056652818407,0.39010769554546904
23,0.5129592694176568,0.5083047787348429,0.3149701654911041,0.40397910135132925
24,0.49284595754411487,0.4944508181677924,0.3535033166408539,0.4199559305395399
25,0.5163016043768989,0.504867214096917,0.30163104619298664,0.40006122844559805
26,0.4669471253289117,0.4559140698115031,0.3056057095527649,0.39051236850874765
27,0.4498255284627279,0.47110011630588106,0.29715525678225924,0.38433191180229187
28,0.4035836993323432,0.4434288099077013,0.3359643263476236,0.40644195675849915
29,0.3707546085781521,0.42568378024631076,0.2544486054352352,0.3520195782184601
30,0.4501569051212735,0.4595102596282959,0.2515926701681955,0.3606901296547481
31,0.4452134884728326,0.4603642299440172,0.21801180924688066,0.3353449617113386
32,0.37832843131489224,0.4171086300743951,0.21653082966804504,0.32562731419290813
33,0.4043405519011948,0.42674631966484916,0.2210870385169983,0.3308835710797991
34,0.3722851241959466,0.43145073148939345,0.2507123478821346,0.35840596897261484
35,0.34131513357162474,0.4100743405024211,0.24981680086680821,0.3533459859234946
36,0.3639444302539859,0.4280803977118598,0.20461098636899674,0.312724415745054
37,0.2945578193664551,0.3840986564424303,0.20168576070240565,0.3083451645714896
38,0.3288692806909482,0.3820124350653754,0.21203638826097762,0.3186983380998884
39,0.30439248548613657,0.39243019209967717,0.20316926496369497,0.30929691450936453
40,0.35596247143215604,0.4176107258266873,0.201275178364345,0.30512100032397677
41,0.32817637732905697,0.3892901070912679,0.1885981261730194,0.29866559164864676
42,0.28657184912098776,0.3856954261991713,0.1940529261316572,0.30038872361183167
43,0.3449267486731211,0.4097834364573161,0.24514148490769522,0.3330467258180891
44,0.3174868657853868,0.4010077280468411,0.18350828971181596,0.2991102124963488
45,0.28675496306684284,0.3683505715264214,0.20284040485109603,0.30390240464891705
46,0.29416471799214683,0.37891155030992296,0.1886113498892103,0.29443640794072834
47,0.2945226821303368,0.38283849557240807,0.20502108761242457,0.30461834583963665
48,0.2837970632976956,0.3774474811553955,0.22146405492510116,0.32177527035985676
49,0.3112967851426866,0.3769596502516005,0.2203420102596283,0.31969827839306425
50,0.27725784089830185,0.36729258007473414,0.23237594110625132,0.3301240844385965
51,0.2803177992502848,0.3709911966323853,0.19632111276899064,0.30312962191445486
52,0.28669037375185225,0.38744131247202557,0.19434770941734314,0.29861261589186533
53,0.277974640528361,0.3657987244923909,0.1956537025315421,0.3107349063668932
54,0.2507798563109504,0.3403332339392768,0.2016814010483878,0.3118950639452253
55,0.27589932243029275,0.3569165356953939,0.20052284853799002,0.29612585476466585
56,0.24228400972154404,0.34719533496432836,0.23619269047464644,0.330371869461877
57,0.2756327274110582,0.36752557966444227,0.23890364595821925,0.3374497038977487
58,0.231302580303616,0.3362432066599528,0.20194290791239058,0.3091933046068464
59,0.2197272238632043,0.34148799578348793,0.20182632548468454,0.30182326265743803
60,0.24301890942785476,0.34283941904703774,0.2055018969944545,0.30862705622400555
61,0.24861403259966108,0.3554864205254449,0.20845187136105128,0.31007506591933115
62,0.21389126698176067,0.32467048009236654,0.20231481109346663,0.3093788666384561
63,0.2631215736601088,0.36113791889614527,0.19794428774288722,0.2987894458430154
64,0.26669448910488025,0.3553557750913832,0.1947347436632429,0.30340881432805744
