epoch,train_mse,train_mae,val_mse,val_mae
1,1.6328607559204102,1.084834680557251,1.3110603189468384,0.9970320224761963
2,1.5435064649581909,1.0540190315246583,1.3351290035247803,0.9838332390785217
3,1.3976372766494751,1.0047920894622804,1.380561532974243,1.0189079356193542
4,1.3916703987121581,1.0062826108932494,1.3154791927337646,0.9767014789581299
5,1.2739469814300537,0.9703325843811035,2.2198660373687744,1.2463874626159668
6,1.1936357641220092,0.9169887018203735,2.171062307357788,1.2337168788909911
7,1.0283362889289855,0.8429789924621582,3.459630584716797,1.5454733657836914
8,1.0103160786628722,0.8394501352310181,1.5512776756286621,1.0804947304725647
9,0.936989688873291,0.7971549248695373,2.9406681442260743,1.4317668342590333
10,0.8936294221878052,0.7682351541519165,2.719934120178223,1.3805644989013672
11,0.8377421140670777,0.7218352961540222,3.5493242359161377,1.569685125350952
12,0.7794135844707489,0.6991416811943054,2.9630518341064453,1.4387584161758422
13,0.7786054372787475,0.6923329257965087,1.2520964097976686,0.959595594406128
14,0.6119410991668701,0.6080867505073547,3.3664995670318603,1.5214094352722167
15,0.6420322394371033,0.638456916809082,1.7272705221176148,1.0308426141738891
16,0.5806292808055877,0.599298803806305,1.968776798248291,1.1763191413879395
17,0.5533183097839356,0.5816919493675232,3.256298484802246,1.5109022331237794
18,0.46458969593048094,0.5264519572257995,2.6044254970550536,1.3421296644210816
19,0.46212527751922605,0.5250379943847656,1.4635248899459838,1.0369309163093567
20,0.503105661869049,0.5418768382072449,1.220712296962738,0.9258550524711608
21,0.46517994165420534,0.5196731495857239,3.2411130142211912,1.515242624282837
22,0.6104619145393372,0.6150460648536682,3.906060190200806,1.6515242767333984
23,0.647821979522705,0.6445087051391601,1.3456523132324218,0.9447691297531128
24,0.5449104046821595,0.5736995005607605,1.351932978630066,0.9975699996948242
25,0.5616500687599182,0.5883535289764404,2.110328059196472,1.16817081451416
26,0.5452058970928192,0.5742000675201416,4.074025630950928,1.685928726196289
27,0.475332658290863,0.5405258297920227,4.038877353668213,1.6788950634002686
28,0.4539481163024902,0.5238717079162598,4.191156997680664,1.7096159362792969
29,0.37356147170066833,0.4659528374671936,4.062387619018555,1.6823045206069946
30,0.3931432116031647,0.4894590353965759,1.0461344075202943,0.8250369906425477
31,0.33863139390945435,0.45647120237350464,1.589842357635498,1.0349240183830262
32,0.32566009759902953,0.44548905730247496,3.559934368133545,1.5741216897964478
33,0.31709560871124265,0.4351982259750366,4.233541183471679,1.7183758926391601
34,0.31455164670944213,0.41533622741699217,4.283673057556152,1.728022699356079
35,0.3419465136528015,0.46333218455314634,2.242856059074402,1.2861105155944825
36,0.25205257415771487,0.39431631565093994,0.42212957262992856,0.5034358632564545
37,0.2472066617012024,0.38282340884208677,4.32095048904419,1.7415603685379029
38,0.2282981526851654,0.3689068531990051,2.5873662757873537,1.3430794048309327
39,0.21569034874439239,0.35876158833503724,0.5324168860912323,0.6238374829292297
40,0.25548446774482725,0.38142659902572634,3.478436288833618,1.5740638542175294
41,0.24297131538391115,0.386757652759552,1.2201587820053101,0.9394585704803466
42,0.25623790204524993,0.3802385246753693,2.419081659317017,1.3204467916488647
43,0.21088207602500916,0.3524126136302948,1.2314964103698731,0.9535557508468628
44,0.16508455514907838,0.30441274523735046,0.49154512882232665,0.5687968230247498
45,0.1643548744916916,0.31142903804779054,0.4796417260169983,0.5793620705604553
46,0.1997278779745102,0.34701353311538696,1.3844466876983643,1.0070233845710754
47,0.18495991945266724,0.32899544954299925,0.5579800069332123,0.6085047841072082
48,0.18448778808116914,0.33125306248664854,1.0480687999725342,0.8444191670417786
